uri,track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,tempo
spotify:track:3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),"Gunna, Future, Young Thug",14,11,0.773,0.422,C#,-4.572,Minor,0.187,0.00783,77.502
spotify:track:3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,1,42,0.714,0.8,B,-4.808,Minor,0.0504,0.127,134.002
spotify:track:2gQPv5jvVPqU2a9HhMNO1v,Toxic,BoyWithUke,23,23,0.594,0.612,G#,-6.627,Minor,0.363,0.835,179.629
spotify:track:2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,9,28,0.727,0.739,G#,-3.805,Major,0.0411,0.365,93.005
spotify:track:1Al4Z4K76RCKj31mExavs7,maybe (feat. Bring Me The Horizon),"Machine Gun Kelly, Bring Me The Horizon",72,1,0.522,0.922,F,-4.805,Minor,0.0616,0.000745,176.105
spotify:track:6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,4,123,0.548,0.816,C,-4.209,Major,0.0465,0.122,95.39
spotify:track:6Jrdb6CFOJEGaHjaa6c4WR,IDGAF (with blackbear),"BoyWithUke, blackbear",74,1,0.783,0.75,F,-5.762,Major,0.078,0.426,97.953
spotify:track:74WROFXsox6wkeUrEK2DS6,Chale,Eden Muñoz,75,3,0.551,0.436,G#,-8.029,Major,0.0428,0.395,188.651
spotify:track:3GZD6HmiNUhxXYf8Gch723,Lost,Frank Ocean,50,10,0.913,0.603,G#,-4.892,Major,0.226,0.0272,123.061
spotify:track:3i6sCTU7ENlnHpHvrHUitW,Sometimes,Juice WRLD,77,1,0.674,0.58,G#,-4.866,Major,0.0311,0.0609,121.987
spotify:track:2hHeGD57S0BcopfVcmehdl,Hati-Hati di Jalan,Tulus,45,3,0.643,0.436,F#,-11.322,Major,0.0357,0.702,71.969
spotify:track:3o9kpgkIcffx0iSwxhuNI2,Numb Little Bug,Em Beihold,69,8,0.742,0.527,G#,-6.892,Minor,0.0769,0.327,84.974
spotify:track:3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem,51,42,0.949,0.661,F,-4.244,Minor,0.0572,0.0302,104.504
spotify:track:4r9jkMEnArtWGH2rL2FZl0,A Tu Merced,Bad Bunny,52,19,0.86,0.791,C,-4.784,Major,0.0568,0.169,92.023
spotify:track:2FYGZDfsAnNsrm1gVbyKnG,SAOKO,ROSALÍA,80,2,0.827,0.768,C,-5.702,Major,0.265,0.79,99.988
spotify:track:2vmfvSoZBFAt9hhRoEByLi,Volví,"Aventura, Bad Bunny",10,34,0.725,0.86,C#,-3.726,Major,0.182,0.422,175.896
spotify:track:00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),"Post Malone, The Weeknd",9,20,0.687,0.781,C#,-4.806,Major,0.053,0.0361,97.014
spotify:track:3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,2,125,0.793,0.793,B,-4.521,Minor,0.083,0.0123,123.95
spotify:track:6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,3,51,0.442,0.612,D,-7.222,Major,0.112,0.584,180.917
spotify:track:3rdAz1fbUfZxYgaCviYhRo,Todo De Ti,Rauw Alejandro,2,44,0.78,0.719,D#,-3.613,Minor,0.0506,0.302,127.962
spotify:track:4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",1,53,0.677,0.696,C,-6.181,Major,0.119,0.321,90.03
spotify:track:3Kkjo3cT83cw09VJyrLNwX,Oh My God,Adele,3,18,0.534,0.725,C#,-3.906,Major,0.046,0.091,88.098
spotify:track:0oA9wBGDY4uyILLg4GymWP,Tom's Diner,"AnnenMayKantereit, Giant Rooks",90,1,0.68,0.428,F#,-8.107,Minor,0.135,0.376,98.222
spotify:track:1Y5Jvi3eLi4Chwqch9GMem,Super Gremlin,Kodak Black,45,15,0.825,0.414,D,-6.634,Major,0.144,0.00265,72.993
